10.03.2025	12.56.56	7b0215f0-5790-4a4f-9db0-97375d4cfefe	GET 	 / 	 No origin
10.03.2025	12.56.58	e57e8c0a-f649-4e69-9b25-43e8e81db765	GET 	 / 	 No origin
10.03.2025	12.57.05	5fcfa9a7-c6f4-4c08-8370-089edec63db9	GET 	 /book 	 No origin
10.03.2025	12.57.06	f612086b-d5a4-4c2a-9792-0748a019703c	GET 	 /books 	 No origin
10.03.2025	12.57.07	a0b0c8b7-1be4-4ecb-8cb0-ec3aa60dfb2e	GET 	 /books 	 No origin
10.03.2025	12.57.34	d7e78b75-b5b4-443f-861a-fb36b8eb6e9a	GET 	 / 	 No origin
10.03.2025	12.57.35	8b93bcda-08e6-4242-ac37-ce084b3a238c	GET 	 / 	 No origin
10.03.2025	12.57.49	b024f737-8814-41b4-9d40-efa00933ae4f	GET 	 / 	 No origin
10.03.2025	12.57.49	4a3f6ad0-e4c5-440c-80f9-4d092d0c1e8a	GET 	 / 	 No origin
10.03.2025	12.58.10	fbf87a01-2a5c-41f1-94d4-8ddf93ef519e	GET 	 / 	 No origin
10.03.2025	12.58.11	9b2e832c-217b-4591-8dc3-a85cc69d18ea	GET 	 / 	 No origin
10.03.2025	12.59.45	fc22672a-1bc9-497e-9cc6-f3df6ebc496d	GET 	 /books/ 	 No origin
10.03.2025	12.59.45	c3fc200d-a861-48af-9528-ec5d17fcbd41	GET 	 /books/ 	 No origin
10.03.2025	12.59.48	92d04f91-98e4-4db2-91f3-7908ca8da1b2	GET 	 /books 	 No origin
10.03.2025	12.59.48	f6f721ad-c6b3-4758-afd4-1faa90749489	GET 	 /books 	 No origin
10.03.2025	12.59.49	4d2bb8b2-2b58-49d7-a148-c97ef8cab461	GET 	 /books 	 No origin
10.03.2025	13.00.03	bbe1b59b-4028-46a7-b5a8-66f6dbece674	GET 	 /api/books/ 	 No origin
10.03.2025	13.02.13	96aaa2ae-8d58-4018-81b3-adacf599c653	GET 	 /api/books/genre 	 No origin
10.03.2025	13.02.23	fd9ea044-ee15-4956-a798-b49ff071e1b6	GET 	 /api/books/genre=Dystopian 	 No origin
10.03.2025	13.03.39	14f540e0-c712-4c2b-9ded-1fbc683b72b7	GET 	 /api/books/ 	 No origin
10.03.2025	13.03.49	db9f0baa-5024-4659-a8e0-16f2f9a183e4	GET 	 /api/books/year=1943 	 No origin
10.03.2025	13.04.37	e228e77f-bb23-436e-89fc-36bd7ffca2e3	GET 	 /api/books/year?year=1943 	 No origin
10.03.2025	13.06.40	8fda67e4-22f8-4f3d-beef-b56825d64a7d	GET 	 /api/books/year?year=1944 	 No origin
10.03.2025	13.06.41	c622de50-e508-43a9-b5f2-877d4d15b2c3	GET 	 /api/books/year?year=1944 	 No origin
10.03.2025	16.03.29	022e2ba4-469f-4b63-8298-b60f4c653a9a	GET 	 /api/books/register 	 No origin
10.03.2025	16.03.37	fd5ab273-3039-4cdf-a9b4-d2bf48463979	GET 	 /api/user/register 	 No origin
10.03.2025	16.03.38	de445e1c-5eca-49fa-8a8f-671f82ef6346	GET 	 /api/users/register 	 No origin
10.03.2025	16.05.04	214ff3f9-f9b5-4e6f-9899-34cf1172fb27	GET 	 /api/books 	 No origin
10.03.2025	16.05.07	d93e536f-d16e-4b10-829d-7ca0f3be9d83	GET 	 /api/books/register 	 No origin
10.03.2025	16.13.32	32a1d039-577c-477d-8db5-98620bbb572b	POST 	 /api/books/register 	 No origin
10.03.2025	16.13.42	8fa72fcf-2b02-43e0-b4b2-2713a505bb6a	POST 	 /api/books/register 	 No origin
10.03.2025	16.14.26	6d7e1618-c372-43d1-86f7-18e0e897c363	POST 	 /api/books/register 	 No origin
10.03.2025	16.14.27	7f9f94d2-5c75-4311-8485-52ceb2e78395	POST 	 /api/books/register 	 No origin
10.03.2025	16.14.28	65925f6e-9c27-4cbb-b645-12bfdb7a2ef6	POST 	 /api/books/register 	 No origin
10.03.2025	16.14.28	0517608a-bc0d-4919-a222-443dd38cb035	POST 	 /api/books/register 	 No origin
10.03.2025	16.15.22	8c11ef60-e807-480f-994f-59f1e0e49cfb	POST 	 /api/books/register 	 No origin
10.03.2025	16.18.04	b6efbe91-8dd8-455d-a5a7-cf775a130540	POST 	 /api/books/register 	 No origin
10.03.2025	16.18.04	f4d10275-e991-4216-8e2f-ac9dac1a5e4e	POST 	 /api/books/register 	 No origin
10.03.2025	16.18.20	5dc7cb34-6c09-4b75-b72d-7e2cb0fdc627	POST 	 /api/books/register 	 No origin
10.03.2025	16.19.13	1294a7b9-c3bc-4fa4-9880-a6caa07dafcd	POST 	 /api/books/register 	 No origin
10.03.2025	16.19.13	3224853a-704d-482d-9826-1cdfe055e701	POST 	 /api/books/register 	 No origin
